"X.1","X","name","album","release_date","track_number","id","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
169,168,"it’s time to go - bonus track","evermore (deluxe version)","2021-01-07",17,"1kdWw77ZpYOkhxeuhzU1j6",0.801,0.592,0.41,1.39e-05,0.09,-12.426,0.0397,151.923,0.416,64,254640
207,206,"no body, no crime (feat. HAIM)","evermore","2020-12-11",6,"3RaT22zZsxVYxxKR7TAaYF",0.418,0.546,0.613,0,0.103,-7.589,0.0264,79.015,0.535,64,215626
316,315,"the lakes - bonus track","folklore (deluxe version)","2020-08-18",17,"0eFQWVz0qIxDOvhLpZ40P7",0.842,0.313,0.258,1.3e-06,0.0948,-11.532,0.0383,179.947,0.268,64,211813
377,376,"Soon You’ll Get Better (feat. The Chicks)","Lover","2019-08-23",12,"4AYtqFyFbX0Xkc2wtcygTr",0.907,0.433,0.182,0,0.123,-12.566,0.0641,207.476,0.421,64,201586
382,381,"It’s Nice To Have A Friend","Lover","2019-08-23",17,"1SmiQ65iSAbPto6gPFlBYm",0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,0.545,64,150440
682,681,"Clean","1989 (Deluxe)","2014-01-01",13,"1NmVZsG18CzCAtw7rnV3yA",0.232,0.815,0.377,0,0.1,-7.754,0.0346,103.97,0.211,64,271000
1179,1178,"Picture To Burn","Taylor Swift","2006-10-24",2,"32mVHdy0bi1XKgr0ajsBlG",0.173,0.658,0.877,0,0.0962,-2.098,0.0323,105.586,0.821,64,173066
75,74,"Stay Stay Stay (Taylor's Version)","Red (Taylor's Version)","2021-11-12",9,"7eQj6r5PIdYKEIZjucBMcq",0.0848,0.693,0.681,0,0.0768,-7.039,0.025,100.02,0.663,63,205786
130,129,"Hey Stephen (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",4,"550erGcdD9n6PnwxrvYqZT",0.106,0.788,0.571,0,0.0934,-6.135,0.0296,115.99,0.797,63,254254
131,130,"White Horse (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",5,"5YL553x8sHderRBDlm3NM3",0.369,0.423,0.517,0,0.177,-7.377,0.0486,185.262,0.366,63,234515
156,155,"‘tis the damn season","evermore (deluxe version)","2021-01-07",4,"6sQckd3Z8NPxVVKUnavY1F",0.735,0.575,0.434,6.59e-05,0.105,-8.193,0.0312,145.916,0.348,63,229840
345,344,"mad woman","folklore","2020-07-24",12,"2QDyYdZyhlP2fp79KZX8Bi",0.655,0.592,0.699,1.68e-05,0.114,-8.995,0.0471,141.916,0.506,63,237258
348,347,"peace","folklore","2020-07-24",15,"7MbT4I8qGntX4fMdqMQgke",0.918,0.647,0.272,1.73e-05,0.0918,-12.906,0.0916,150.044,0.339,63,234000
